,Female,Male,Non-binary,Asian,Black,Hispanic,White,ethnicity not clear,Office worker,Warehouse Worker,Engineer,Mechanic,Software developer,Construction worker,Nurse,Teacher,Receptionist,Social worker,Chef,Artist,Photographer,Scientist,job note clear
Female,1.0,-0.8016708138083981,-0.3297336918152416,0.11615389887007938,0.0851879975735644,-0.12005041071700621,-0.08635519133092012,0.11879516696711098,0.019067587943540312,-0.1153424291237232,-0.01972444094781204,-0.06526367922333447,-0.07144013851540651,-0.07006849420794484,0.09578928460226871,0.19018314587091437,0.13850156022737592,0.14917829442929242,-0.056820230983622676,0.02269003358114936,-0.08010448767003504,0.03840059115245184,-0.15745355892125626
Male,-0.8016708138083981,1.0,-0.2862501523979151,-0.02254887885809277,0.009773167030236141,-0.025686362434577312,0.03483030462526974,-0.088669582987153,-0.0642253364400516,0.14867943520104432,0.051251433120265553,0.06774393009364989,0.07321181500045883,0.0732894144192995,-0.08896692577966676,-0.14094446544072164,-0.15398345814555842,-0.11096495084266439,0.0632384598351205,-0.017728870348372106,0.07909880931325375,-0.03987942038688982,0.09943031507082183
Non-binary,-0.3297336918152416,-0.2862501523979151,1.0,-0.18139562887359664,-0.14594013911939346,0.2441192732713825,0.09530300911378911,-0.04765685399134485,0.07771837717361094,-0.04866717771585826,-0.04547640295833188,0.0018184260589729274,0.0028515391520914472,0.0007174824363767371,-0.00910745800940798,-0.08041256798746936,0.024899447476473362,-0.06170124796359741,-0.004707761726954481,-0.06777047663459822,0.007718170834048463,0.00017062355730780847,0.10243402745805082
Asian,0.11615389887007938,-0.02254887885809277,-0.18139562887359664,1.0,-0.29368850185071094,-0.2754372869646524,-0.36750858126508246,-0.09800203845961471,0.06895593525593839,0.029806032456134997,-0.035449790542526984,-0.006740161489716817,-0.018255882779072138,-0.004486601169558842,-0.008157823657664725,-0.01623439572436203,-0.01900818460838323,-0.03800344392253257,-0.0016041982163046762,0.00071807233421903,0.005328274069598715,-0.01230370050332555,-0.025369432872818176
Black,0.0851879975735644,0.009773167030236141,-0.14594013911939346,-0.29368850185071094,1.0,-0.3014389073949371,-0.3413249915477564,-0.1005966330801386,-0.003203475262924637,-0.0119115360774966,0.00336531630607961,-0.015013976989788342,-0.0332636788924191,-0.017136199648533662,0.0006783786766605791,0.011185697645272337,-0.00140825951175635,0.10682237356928284,-0.007063240590664636,0.06261203221211535,-0.022202328195128455,-0.020353368542290598,0.008848989662216901
Hispanic,-0.12005041071700621,-0.025686362434577312,0.2441192732713825,-0.2754372869646524,-0.3014389073949371,1.0,-0.36280496785789884,0.01790177871672506,0.0011577741964339018,-0.008425772731247805,-0.018400137514292026,-0.008635244839777392,0.0059002593386513185,-0.010407351306965417,0.026146194405237713,0.0007677500718361688,0.04733975651049955,0.0032791598453096754,-0.00754645069712719,-0.03261045181050025,0.011178442394125337,-0.0062321245828427015,0.009270613781138325
White,-0.08635519133092012,0.03483030462526974,0.09530300911378911,-0.36750858126508246,-0.3413249915477564,-0.36280496785789884,1.0,0.0442861452756247,-0.06187136092624271,-0.009593077727496534,0.06516726083635295,0.052141370904794766,0.05107492227014356,0.05348186457648315,-0.04858216481686563,0.0167559199391962,-0.05490180948666802,-0.06021057756224372,0.03204801156059195,-0.038093825343413094,-0.020125361810904515,0.03503731294526609,-0.005907903097189414
ethnicity not clear,0.11879516696711098,-0.088669582987153,-0.04765685399134485,-0.09800203845961471,-0.1005966330801386,0.01790177871672506,0.0442861452756247,1.0,0.07319189166570131,-0.03223825580591945,-0.02515243101835106,-0.07134959483292709,-0.02416303502012823,-0.07079123423339852,0.022521421274093137,-0.030724341971438383,-0.02399053829600834,-0.004816223665555923,-0.04059300424649454,0.0024823534951650705,0.11974787553193465,0.010482180042657776,0.07311199831410968
Office worker,0.019067587943540312,-0.0642253364400516,0.07771837717361094,0.06895593525593839,-0.003203475262924637,0.0011577741964339018,-0.06187136092624271,0.07319189166570131,1.0,-0.05006670717157489,-0.03415874252034072,-0.11898967973433854,-0.06181910786151138,-0.11805850207215624,-0.11863846834127116,-0.03951592170085799,-0.07469568636130926,-0.05326825333022441,-0.11483000874419004,-0.10406518861872836,-0.11249869678906002,-0.09360907006681336,-0.014503632063526185
Warehouse Worker,-0.1153424291237232,0.14867943520104432,-0.04866717771585826,0.029806032456134997,-0.0119115360774966,-0.008425772731247805,-0.009593077727496534,-0.03223825580591945,-0.05006670717157489,1.0,0.15998682572536466,-0.038409280736722916,-0.03608264071959965,-0.038108701187955514,-0.038295911434239036,-0.028675035900974307,-0.029925972272622083,-0.029084426471935747,-0.03830493476163686,-0.03359172874068398,-0.037966110651649496,-0.037342198158306784,-0.027386627009616787
Engineer,-0.01972444094781204,0.051251433120265553,-0.04547640295833188,-0.035449790542526984,0.00336531630607961,-0.018400137514292026,0.06516726083635295,-0.02515243101835106,-0.03415874252034072,0.15998682572536466,1.0,-0.08515981668666353,-0.08504218222868624,-0.09133848175961246,-0.09178718505131073,-0.0687279849995298,-0.07332943344475823,-0.06970920745090378,-0.09119266149741119,-0.08051225592082216,-0.09099672245810157,-0.08950133641459118,-0.029736957208399768
Mechanic,-0.06526367922333447,0.06774393009364989,0.0018184260589729274,-0.006740161489716817,-0.015013976989788342,-0.008635244839777392,0.052141370904794766,-0.07134959483292709,-0.11898967973433854,-0.038409280736722916,-0.08515981668666353,1.0,-0.07921315502632309,-0.08434204399080607,-0.08475637705216386,-0.06346348901972816,-0.07121871479711132,-0.06436955079746104,-0.08477634744875584,-0.07434509639151489,-0.0840264631152867,-0.08264562217031762,-0.09784695012071053
Software developer,-0.07144013851540651,0.07321181500045883,0.0028515391520914472,-0.018255882779072138,-0.0332636788924191,0.0059002593386513185,0.05107492227014356,-0.02416303502012823,-0.06181910786151138,-0.03608264071959965,-0.08504218222868624,-0.07921315502632309,1.0,-0.07923302942685034,-0.07962226428635484,-0.059619191747106025,-0.06690464515985771,-0.06047036888368904,-0.07964102497729819,-0.06984164636528191,-0.07893656484508974,-0.0776393682625826,-0.061145599942478916
Construction worker,-0.07006849420794484,0.0732894144192995,0.0007174824363767371,-0.004486601169558842,-0.017136199648533662,-0.010407351306965417,0.05348186457648315,-0.07079123423339852,-0.11805850207215624,-0.038108701187955514,-0.09133848175961246,-0.08434204399080607,-0.07923302942685034,1.0,-0.08409309898288349,-0.06296684272677855,-0.0706613784256171,-0.06386581393590188,-0.08411291309712185,-0.07376329389228022,-0.08336889713427198,-0.08199886223774214,-0.11343330263698208
Nurse,0.09578928460226871,-0.08896692577966676,-0.00910745800940798,-0.008157823657664725,0.0006783786766605791,0.026146194405237713,-0.04858216481686563,0.022521421274093137,-0.11863846834127116,-0.038295911434239036,-0.09178718505131073,-0.08475637705216386,-0.07962226428635484,-0.08409309898288349,1.0,-0.06327616940984856,-0.07100850476803823,-0.05884205516753663,-0.08452612054543852,-0.07412565849631514,-0.08377844957973359,-0.08240168434177518,-0.10736281134523841
Teacher,0.19018314587091437,-0.14094446544072164,-0.08041256798746936,-0.01623439572436203,0.011185697645272337,0.0007677500718361688,0.0167559199391962,-0.030724341971438383,-0.03951592170085799,-0.028675035900974307,-0.0687279849995298,-0.06346348901972816,-0.059619191747106025,-0.06296684272677855,-0.06327616940984856,1.0,-0.053169420631089294,-0.04805607250754958,-0.06329107861481802,-0.05550346862001597,-0.06273124099819617,-0.05386682785570084,-0.05173797659047266
Receptionist,0.13850156022737592,-0.15398345814555842,0.024899447476473362,-0.01900818460838323,-0.00140825951175635,0.04733975651049955,-0.05490180948666802,-0.02399053829600834,-0.07469568636130926,-0.029925972272622083,-0.07332943344475823,-0.07121871479711132,-0.06690464515985771,-0.0706613784256171,-0.07100850476803823,-0.053169420631089294,1.0,-0.05392851504146849,-0.07102523587489933,-0.06228598148252691,-0.07039698621250703,-0.06924012398886106,-0.08395786105908117
Social worker,0.14917829442929242,-0.11096495084266439,-0.06170124796359741,-0.03800344392253257,0.10682237356928284,0.0032791598453096754,-0.06021057756224372,-0.004816223665555923,-0.05326825333022441,-0.029084426471935747,-0.06970920745090378,-0.06436955079746104,-0.06047036888368904,-0.06386581393590188,-0.05884205516753663,-0.04805607250754958,-0.05392851504146849,1.0,-0.06419467890673626,-0.056295885996132264,-0.06362684854540414,-0.06258124273964388,-0.06726057729863658
Chef,-0.056820230983622676,0.0632384598351205,-0.004707761726954481,-0.0016041982163046762,-0.007063240590664636,-0.00754645069712719,0.03204801156059195,-0.04059300424649454,-0.11483000874419004,-0.03830493476163686,-0.09119266149741119,-0.08477634744875584,-0.07964102497729819,-0.08411291309712185,-0.08452612054543852,-0.06329107861481802,-0.07102523587489933,-0.06419467890673626,1.0,-0.07414312407057999,-0.08379818955591192,-0.08242109992291946,-0.1134177409415012
Artist,0.02269003358114936,-0.017728870348372106,-0.06777047663459822,0.00071807233421903,0.06261203221211535,-0.03261045181050025,-0.038093825343413094,0.0024823534951650705,-0.10406518861872836,-0.03359172874068398,-0.08051225592082216,-0.07434509639151489,-0.06984164636528191,-0.07376329389228022,-0.07412565849631514,-0.05550346862001597,-0.06228598148252691,-0.056295885996132264,-0.07414312407057999,1.0,-0.04671460860778236,-0.0722796487801983,-0.010488856832081651
Photographer,-0.08010448767003504,0.07909880931325375,0.007718170834048463,0.005328274069598715,-0.022202328195128455,0.011178442394125337,-0.020125361810904515,0.11974787553193465,-0.11249869678906002,-0.037966110651649496,-0.09099672245810157,-0.0840264631152867,-0.07893656484508974,-0.08336889713427198,-0.08377844957973359,-0.06273124099819617,-0.07039698621250703,-0.06362684854540414,-0.08379818955591192,-0.04671460860778236,1.0,-0.08169204879675657,-0.10740887841173266
Scientist,0.03840059115245184,-0.03987942038688982,0.00017062355730780847,-0.01230370050332555,-0.020353368542290598,-0.0062321245828427015,0.03503731294526609,0.010482180042657776,-0.09360907006681336,-0.037342198158306784,-0.08950133641459118,-0.08264562217031762,-0.0776393682625826,-0.08199886223774214,-0.08240168434177518,-0.05386682785570084,-0.06924012398886106,-0.06258124273964388,-0.08242109992291946,-0.0722796487801983,-0.08169204879675657,1.0,-0.07002560312081389
job note clear,-0.15745355892125626,0.09943031507082183,0.10243402745805082,-0.025369432872818176,0.008848989662216901,0.009270613781138325,-0.005907903097189414,0.07311199831410968,-0.014503632063526185,-0.027386627009616787,-0.029736957208399768,-0.09784695012071053,-0.061145599942478916,-0.11343330263698208,-0.10736281134523841,-0.05173797659047266,-0.08395786105908117,-0.06726057729863658,-0.1134177409415012,-0.010488856832081651,-0.10740887841173266,-0.07002560312081389,1.0
